key_DO_NOT_MODIFY;fr;en;es;ab;cn;ru;am;bg;br;cz;de;et;fa;fi;hb;it;jp;ko;mg;nl;pl;ro;sb;sk;sl;sw;uk
nAdapt;nAdapt;nAdapt;nAdapt;n التكيف;nAdapt;nAdapt;nՀարմարվել;нПрилагоди;nAdapt;nAdapt;nAdapt;nAdapt;nAdapt;nAdapt;n התאם ;nAdapt;nAdapt;nAdapt;nAdapt;nAdapt;nAdaptacji;nAdapt;нПрилагоди;nAdapt;nAdapt;nAdapt;nAdapt
Explanation_nAdapt;Nombre d'itérations entre deux adaptations;Number of iterations between two adaptions;Número de iteraciones entre dos adaptaciones;عدد التكرارات بين تعديلين;两次微调之间的迭代次数;Количество итераций между двумя адаптациями;Երկու հարմարվողականությունների միջև կրկնությունների քանակը;Брой итерации между две адаптации;Número de iterações entre duas adaptações;Počet iterací mezi dvěma adaptacemi;Anzahl der Iterationen zwischen zwei Anpassungen.;Iteratsioonide arv kahe kohandamise vahel;تعداد تکرار بین دو تعدیل;Iteraatioiden määrä kahden mukautuksen välillä;מספר איטרציות בין שתי התאמות;Numero di iterazioni tra due adattamenti;2 つの適応の間 (Adaptations) の反復回数;두 적응 간의 반복 횟수;Két adaptáció közötti iterációk száma;Aantal iteraties tussen twee aanpassingen;Liczba iteracji pomiędzy dwoma adaptacjami;Numărul de iterații între două adaptări;Број итерација између две адаптације;Počet iterácií medzi dvoma adaptáciami;Število ponovitev med prilagoditvama;Antal iterationer mellan två anpassningar;Кількість ітерацій між двома адаптаціями
nCycles;nCycles;nCycles;nCycles;nCycles;nCycles;nCycles;nցիկլեր;нЦицлес;nCycles;nCykly;nCycles;nCycles;n چرخه ;nCycles;nCycles;nCycles;nCycles;nCycles;nCycles;nCycles;nCykli;nCycles;нЦицлес;nCycles;nCycles;nCycles;nCycles
Explanation_nCycles;Nombre de cycles d'adaptation;Number of adaption cycles;Número de ciclos de adaptación;عدد دورات التكيف;微调周期的个数;Количество циклов адаптации;Հարմարվողական ցիկլերի քանակը;Брой цикли на адаптация;Número de ciclos de adaptação;Počet adaptačních cyklů;Anzahl der Anpassungszyklen;Kohandamistsüklite arv;تعداد چرخه های تعدیل;Adaptaatiosyklien lukumäärä;מספר מחזורי הסתגלות;Numero di cicli di adattamento;適応サイクル数;적응 주기의 수;Az adaptációs ciklusok száma;Aantal aanpassingscycli;Liczba cykli adaptacji;Numărul de cicluri de adaptare;Број циклуса адаптације;Počet adaptačných cyklov;Število ciklov prilagajanja;Antal anpassningscykler;Кількість циклів адаптації
minMR;minTA;minMR;minTA;minMR;最小MR;minMR;minMR;минМР;minTA;minMR;minAR;minMR;minMR;minMR;minMR;minTA;最小MR;minMR;minMR;minMR;minWspP;minMR;минМР;minRP;minMR;minMR;minMR
Explanation_minMR;Taux d'acceptation minimal;Minimum move rate;Tasa de aceptación mínima;معدل الحركة الأدنى;最小移动率;Минимальная скорость перемещения;Շարժման նվազագույն արագություն;Минимална степен на движение;Taxa mínima de aceitação;Minimální rychlost pohybu;Minimale Akzeptanzrate;Minimaalne liikumiskiirus;حداقل نرخ حرکت (تغییر);Pienin siirtonopeus;קצב תנועה מינימלי;Tasso minimo di accettazione;最小移動率 (MR);최소 이동 속도;Minimális mozgási sebesség;Minimale bewegingssnelheid;Minimalny współczynnik przesunięcia;Rata minimă de deplasare;Минимална брзина кретања;Minimálna rýchlosť pohybu;Najmanjši premik;Minsta förflyttningshastighet;Мінімальна швидкість переміщення
maxMR;maxTA;maxMR;maxTA;maxMR;最大MR;maxMR;maxMR;макМР;maxTA;maxMR;maxAR;maxMR;maxMR;maxMR;maxMR;maxTA;最大MR;최대MR;maxMR;maxMR;maxWspP;maxMR;макМР;maxRP;maxMR;maxMR;maxMR
Explanation_maxMR;Taux d'acceptation maximal;Maximum move rate;Tasa de aceptación máxima;معدل التحرك الأقصى;最大移动率;Максимальная скорость перемещения;Շարժման առավելագույն արագություն;Максимална степен на движение;Taxa máxima de aceitação;Maximální rychlost pohybu;Maximale Akzeptanzrate;Maksimaalne liikumiskiirus;حداکثر سرعت حرکت (تغییر);Suurin siirtonopeus;קצב תנועה מקסימלי;Tasso massimo di accettazione;最大移動速度 (MR);최대 이동 속도;Maximális mozgási sebesség;Maximale bewegingssnelheid;Maksymalna szybkość przemieszczania;Viteza maximă de deplasare;Максимална брзина кретања;Maximálna rýchlosť pohybu;Največji premik;Maximal förflyttningshastighet;Максимальна швидкість переміщення
downMult;Facteur-;downMult;Factor-;أسفل;downMult;downMult;downMult;довнМулт;Fator-;downMult;Faktor-;downMult;downMult;downMult;downMult;Fattore-;downMult;downMult;downMult;downMult;Zmniejsz;downMult;довнМулт;downMult;downMult;downMult;downMult
Explanation_downMult;Facteur pour diminuer la variance de saut;Multiplier to decrease jump variance;Factor de disminución de la varianza de los saltos;المضاعف لتقليل تباين القفز;减小跳跃方差的倍数;Множитель для уменьшения дисперсии прыжков;Բազմապատկիչ՝ թռիչքի շեղումը նվազեցնելու համար;Множител за намаляване на вариацията на скок;Fator para diminuir a variação do salto;Multiplikátor pro snížení skokové odchylky;Faktor zur Verringerung der Sprungvarianz;Multiplikaator hüppevariantsi vähendamiseks;ضریب برای کاهش واریانس پرش;Kerroin hyppyjen varianssin pienentämiseksi;מכפיל כדי להקטין את שונות הקפיצה;Fattore per diminuire la varianza del salto;ジャンプ分散を減少させる乗数;점프 변동을 줄이기 위한 승수;Szorzótényező az ugrási variancia csökkentésére;Vermenigvuldiger om sprongvariatie te verminderen;Mnożnik zmniejszający wariancję skoków;Multiplicator pentru reducerea varianței salturilor;Множилац за смањење варијансе скока;Multiplikátor na zníženie odchýlky skoku;? Mnogokratnik za zmanjšanje skoka variance;Multiplikator för att minska variationen i hopp;Множник для зменшення дисперсії стрибка
upMult;Facteur+;upMult;Factor+;يصل;upMult;upMult;upMult;упМулт;Fator-+;upMult;Faktor+;upMult;upMult;upMult;upMult;Fattore-+;upMult;upMult;upMult;upMult;Zwiększ;upMult;упМулт;upMult;upMult;upMult;upMult
Explanation_upMult;Facteur pour augmenter la variance de saut;Multiplier to increase jump variance;Factor de aumento de la varianza de los saltos;المضاعف لزيادة تباين القفز;增加跳跃方差的倍数;Множитель для увеличения дисперсии прыжков;Բազմապատկիչ՝ թռիչքի շեղումը մեծացնելու համար;Множител за увеличаване на вариацията на скок;Fator para aumentar a variação do salto;Multiplikátor pro zvýšení skokové odchylky;Faktor, um die Sprungvarianz zu erhöhen.;Korrutis hüppevariantsuse suurendamiseks;ضریب برای افزایش واریانس پرش;Kerroin hyppyjen varianssin lisäämiseksi;מכפיל להגדלת שונות הקפיצה;Fattore per aumentare la varianza del salto;ジャンプの分散を増加させる乗数;점프 변동을 증가시키는 승수;Szorzótényező az ugrási variancia növeléséhez;Vermenigvuldiger om sprongvariatie te verhogen;Mnożnik zwiększający wariancję skoków;Multiplicator pentru creșterea varianței salturilor;Множилац за повећање варијансе скока;Multiplikátor na zvýšenie odchýlky skoku;? Mnogokratnik za povečanje skoka variance;Multiplikator för att öka variationen i hopp;Множник для збільшення дисперсії стрибка
nSlim;nAffinage;nSlim;nRefinamiento;ن سليم;nSlim;nSlim;nSlim;нСлим;nRefinement;nSlim;nVerfeinerung;nSlim;nSlim;nSlim;nSlim;nRaffinazione;nSlim;nSlim;nSlim;nSlim;nOgraniczeń;nSlim;нСлим;nSlim;nSlim;nSlim;nSlim
Explanation_nSlim;Affinage des simulations MCMC (une valeur toutes les nAffinage);Slim MCMC simulations (one value every nSlim);Refinamiento de las simulaciones MCMC (un valor cada nRefinamiento);محاكاة Slim MCMC (قيمة واحدة لكل nSlim);微调MCMC模拟 （每个nSlim一个值）;Уточнение симуляций MCMC (одно значение через каждые nSlim);Slim MCMC մոդելավորում (մեկ արժեք յուրաքանչյուր nSlim);Намали МСМС симулациите (една стойност за всяка nSlim);Refinamento das simulações MCMC (um valor a cada nRefinement);Slim MCMC simulace (jedna hodnota na každý nSlim);Verfeinerung der MCMC-Simulationen (ein Wert alle nVerfeinerung).;Slim MCMC simulatsioonid (üks väärtus iga nSlimi kohta);شبیه سازی های Slim MCMC (هر nSlim یک مقدار);Vähennä MCMC-simulaatiot (yksi arvo joka nSlim);סימולציות Slim MCMC (ערך אחד בכל nSlim);Raffinazione delle simulazioni MCMC (un valore ogni nRaffinazione);Slim MCMC シミュレーション (nSlim ごとに 1 つの値);슬림 MCMC 시뮬레이션(nSlim마다 하나의 값);Sovány MCMC-szimulációk (egy érték minden nSlim után);Slanke MCMC simulaties (één waarde per nSlim);Ograniczone symulacje MCMC (jedna wartość co nSlim);Simulări MCMC subțiri (o valoare la fiecare nSlim);Танке МЦМЦ симулације (једна вредност на сваки нСлим);Slim MCMC simulácie (jedna hodnota za nSlim);Vitke simulacije MCMC (ena vrednost na vsak nSlim);Smala MCMC-simuleringar (ett värde för varje nSlim);Тонке моделювання MCMC (одне значення для кожного nSlim)
burn;burn;burn;burn;حرق;burn;burn;այրել;запиши/замени;burn;vypálit;burn;põletada;ضبط کردن;burn;לשרוף  (לשמור);burn;burn;burn;burn;burn;wypal;burn;горети;napáliť;burn;bränna;burn
Explanation_burn;Brûlage des simulations MCMC (effacement des premières [burn*nSim] itérations);Burn MCMC simulations (delete the initial [burn*nSim] iterations);Eliminación de simulaciones de MCMC (borrando las [burn*nSim] primeras iteraciones);نسخ عمليات محاكاة MCMC (حذف التكرارات الأولية [burn * nSim]);burn MCMC 模拟（刪除初始 [burn*nSim] 迭代）;Сжечь симуляции MCMC (удалить начальные итерации [burn*nSim]);Այրել MCMC սիմուլյացիան (ջնջել սկզբնական [burn*nSim] կրկնությունները);Запиши МСМС симулации (изтрий първоначалните [burn*nSim] итерации);Queima de simulações MCMC (apagando as primeiras [burn*nSim] iterações );Vypálit simulace MCMC (smazat počáteční iterace [burn*nSim]);Abbrennen von MCMC-Simulationen (Löschen der ersten [burn*nSim] Iterationen).;Burn MCMC-simulatsioonid (kustutada algsed [burn*nSim] iteratsioonid);ضبط شبیه سازی MCMC (تکرارهای اولیه [burn*nSim] را حذف کنید);Polta/poista MCMC-simulaatiot (poistaa alkuperäiset [burn*nSim] iteraatiot).;צריבת סימולציות MCMC (מחק את האיטרציות הראשוניות של [burn*nSim]);Eliminazione di una parte delle simulazioni MCMC (cancellazione delle prime [burn*nSim] iterazioni);MCMCの助走計算部分の削除（Burn-in: 最初の [burn*nSim] 反復を削除します);MCMC 시뮬레이션 굽기(초기 [burn*nSim] 반복 삭제);Burn MCMC-szimulációk (törli a kezdeti [burn*nSim] iterációkat);Burn MCMC simulaties (verwijder de initiële [burn*nSim] iteraties);Wypal symulacje MCMC (usuń początkowe [burn*nSim] iteracje);Arde simulările MCMC (șterge iterațiile inițiale [burn*nSim]);Нарежите МЦМЦ симулације (избришите почетне [бурн*нСим] итерације);Napáliť simulácie MCMC (odstrániť počiatočné iterácie [burn*nSim]);Burn MCMC simulacije (izbriši začetne [burn*nSim] iteracije);Bränna MCMC-simuleringar (ta bort de första [burn*nSim]-iterationerna).;Записати симуляції MCMC (видалити початкові ітерації [burn*nSim])
BaremeInfo;Informations Barême;Barême information;Información por Barême;معلومات Barême;Barême信息;Информация о формате Barême;Barême տեղեկատվություն;Информация за мащаба;Informações sobre a barra;Barême informace;Informationen Barême;Barême'i teave;اطلاعات بارمه;Barême-tiedot;מידע על Barême;Informazioni sul Barême;バレーム情報;Barême 정보;Barême információ;Barême informatie;Informacje o Barême;Informații despre Barême;Бареме информатион;Informácie o Barême;Barême informacije;Information om Barême;Інформація про Barême
BaremeNmaxInfo;Attention : le format Barême limite les courbes de tarage à 100 points. Seules les 100 premières valeurs seront exportées.;Warning: the Barême format restricts rating curves to 100 points. Only the 100 first values will be exported.;Atención: el formato Barême limita las curvas de gasto a 100 puntos. Sólo se exportarán los 100 primeros valores.;تحذير: يقيد تنسيق Barême منحنيات التصنيف إلى 100 نقطة. سيتم تصدير أول 100 قيمة فقط.;警告：Barême 格式将水位流量曲线限制为 100 个点。将只会导出前 100 个值。;Внимание: формат Barême ограничивает калибровочные кривые 100 точками. Будут экспортированы только 100 первых значений.;Զգուշացում. Barême ձևաչափը սահմանափակում է գնահատման կորերը մինչև 100 միավոր: Արտահանվելու են միայն 100 առաջին արժեքները։;Внимание: Мащаба ограничава ключовата крива до 100 точки. Само първите 100 стойности ще бъдат експортирани;Cuidado: o formato Barême limita as curvas da tara a 100 pontos. Somente os primeiros 100 valores serão exportados.;Upozornění: Formát Barême omezuje měrné křivky na 100 bodů. Exportuje se pouze 100 prvních hodnot.;Achtung: Das Format Barême beschränkt die Abflusskurven auf 100 Punkte. Es werden nur die ersten 100 Werte exportiert.;Hoiatus: Barême'i formaat piirab hindamiskõverate arvu 100 punktiga. Eksporditakse ainult 100 esimest väärtust.;هشدار: قالب Barême منحنی های سنجه را به 100 نقطه محدود می کند. فقط 100 مقدار اول ارسال خواهد شد.;Varoitus: Barême-formaatti rajoittaa luokittelukäyrät 100 pisteeseen. Vain 100 ensimmäistä arvoa viedään.;אזהרה: פורמט Barême מגביל את עקומות הדירוג ל-100 נקודות. רק 100 הערכים הראשונים ייצאו.;Attenzione: il formato Barême limita le scala di deflusso a 100 punti. Solo i primi 100 valori saranno esportati.;警告: Barême 形式では、評価曲線が 100 ポイントに制限されます。最初の 100 個の値のみがエクスポートされます。;경고: Barême 형식은 등급 곡선을 100포인트로 제한합니다. 100개의 첫 번째 값만 내보내집니다.;Figyelmeztetés: a Barême formátum 100 pontra korlátozza a vízhozamgörbéket. Csak az első 100 érték kerül exportálásra.;Waarschuwing: het Barême-formaat beperkt de ratingcurves tot 100 punten. Alleen de eerste 100 waarden worden geëxporteerd.;Ostrzeżenie: format Barême ogranicza krzywe przepływu do 100 punktów. Wyeksportowane zostanie tylko 100 pierwszych wartości.;Atenție: formatul Barême limitează cheile limnimetrice la 100 de puncte. Doar primele 100 de valori vor fi exportate.;Упозорење: Баремов формат ограничава кривуље рејтинга на 100 поена. Само првих 100 вредности ће бити извезено.;Upozornenie: Barême formát obmedzuje merné krivky na 100 bodov. Exportovať sa bude iba prvých 100 hodnôt.;Opozorilo: Barêmeov format omejuje krivulje ocenjevanja na 100 točk. Izvoženih bo samo prvih 100 vrednosti.;Varning: Barême-formatet begränsar kurvorna till 100 poäng. Endast de 100 första värdena exporteras.;Попередження: формат Barême обмежує рейтингові криві до 100 балів. Тільки 100 перших значень будуть експортовані.
Validity_start;Début de la période de validité;Start of validity period;Inicio del período de validez;بداية فترة الصلاحية;有效期开始;Начало периода действия;Գործողության ժամկետի սկիզբ;Начало на периода на валидност;Início do período de validade;Začátek doby platnosti;Beginn des Gültigkeitszeitraums;Kehtivusperioodi algus;شروع دوره اعتبار;Voimassaoloajan alku;תחילת תקופת התוקף;Inizio del periodo di validità;有効期間の開始;유효 기간 시작;Az érvényességi időszak kezdete;Begin van de geldigheidsperiode;Początek okresu ważności;Începutul perioadei de valabilitate;Почетак периода важења;Začiatok doby platnosti;Začetek obdobja veljavnosti;Början av giltighetsperioden;Початок періоду дії
Validity_end;Fin de la période de validité;End of validity period;Fin del período de validez;انتهاء فترة الصلاحية;有效期结束;Конец периода действия;Վավերականության ժամկետի ավարտը;Край на периода на валидност;Fim do período de validade;Konec doby platnosti;Ende des Gültigkeitszeitraums;Kehtivusperioodi lõpp;پایان دوره اعتبار;Voimassaoloajan päättyminen;סוף תקופת התוקף;Fine del periodo di validità;有効期間の終了;유효 기간 종료;Az érvényességi időszak vége;Einde van de geldigheidsperiode;Koniec okresu ważności;Sfârșitul perioadei de valabilitate;Крај периода важења;Koniec doby platnosti;Konec obdobja veljavnosti;Slutet av giltighetsperioden;Кінець періоду дії
Explanation_Name;Nom (6 charactères max !);Name (maximum 6 characters!);Nombre (¡máximo 6 caracteres!);الاسم (بحد أقصى 6 أحرف!);名称 （最多6个字符）;Название (максимум 6 символов!);Անուն (առավելագույնը 6 նիշ!);Име (не повече от 6 знака);Nome (6 caracteres no máximo!);Jméno (maximálně 6 znaků!);Name (max. 6 Zeichen!);Nimi (maksimaalselt 6 tähemärki!);نام (حداکثر 6 کاراکتر!);Nimi (enintään 6 merkkiä!);שם (מקסימום 6 תווים!);Nome (6 caratteri al massimo!);名前（最大6文字まで！）;이름(최대 6자!);Név (legfeljebb 6 karakter!);Naam (maximaal 6 tekens!);Nazwa (maksymalnie 6 znaków!);Denumire (maximum 6 caractere!);Име (највише 6 знакова!);Názov (maximálne 6 znakov!);Ime (največ 6 znakov!);Namn (högst 6 tecken!);Назва (максимум 6 символів!)
HydroCode;Code HYDRO;HYDRO code;Código HYDRO;كود HYDRO;HYDRO code;Код HYDRO;HYDRO կոդը;код ХИДРО;Código HYDRO;HYDRO kód;HYDRO-Code;HYDRO-kood;کد HYDRO;HYDRO-koodi;קוד HYDRO;Codice HYDRO;HYDRO code;HYDRO code;HYDRO-kód;HYDRO code;Kod HYDRO;Cod HYDRO;ХИДРО код;Kód HYDRO;Koda HYDRO;HYDRO-kod;Гідрокод
Explanation_HydroCode;Code HYDRO (8 charactères);HYDRO code (8 characters);Código HYDRO (8 caracteres);كود HYDRO (8 أحرف);HYDRO code (8个字符);Код HYDRO (8 символов);HYDRO կոդը (8 նիշ);код ХИДРО (8 знака);Código HYDRO (8 caracteres);HYDRO kód (8 znaků);HYDRO-Code (8 Zeichen);HYDRO-kood (8 märki);کد HYDRO (8 کاراکتر);HYDRO-koodi (8 merkkiä);קוד HYDRO (8 תווים);Codice HYDRO (8 caratteri);HYDRO code（8文字）;HYDRO code(8자);HYDRO-kód (8 karakter);HYDRO-code (8 tekens);Kod HYDRO (8 znaków);Codul HYDRO (8 caractere);ХИДРО код (8 знакова);Kód HYDRO (8 znakov);Koda HYDRO (8 znakov);HYDRO-kod (8 tecken);Гідрокод (8 символів)
RemnantErrorText;Pour plus d'information sur les modèles d'erreur restante merci de consulter l'aide;For more information on remnant error models please open help;Para más información sobre los modelos de error remanente, consulte la ayuda;لمزيد من المعلومات حول نماذج الأخطاء المتبقية ، يرجى فتح التعليمات;请打开帮助查看更多remnant误差模型的信息;Для получения дополнительной информации о моделях остаточной погрешности, пожалуйста, откройте справку;Մնացած սխալի մոդելների մասին լրացուցիչ տեղեկությունների համար բացեք օգնությունը;За повече информация за моделите за остатъчна грешка моля отворете помощ;Para mais informações sobre os modelos de erro restantes, favor consultar a ajuda;Pro více informací o modelech zbytkových chyb otevřete nápovědu;Für weitere Informationen zu den verbleibenden Fehlermustern konsultieren Sie bitte die Hilfe.;Lisateabe saamiseks jääkviga mudelite kohta avage palun abi.;برای اطلاعات بیشتر در مورد مدل‌های خطای باقیمانده لطفاً به راهنما مراجعه کنید.;Lisätietoja jäännösvirhemalleista saat avaamalla ohjeen.;למידע נוסף על מודלים של שגיאות שאריות, פתח את העזרה;Per maggiori informazioni sui modelli di errore rimanente, consulta l'Aiuto;Remnant error modelsの詳細については、ヘルプを開いてください;잔차 오류 모델에 대한 자세한 내용은 도움말을 여십시오.;A maradék hibamodellekkel kapcsolatos további információkért kérjük, nyissa meg a súgót.;Voor meer informatie over restfoutmodellen kunt u help openen;Więcej informacji na temat modeli błędów resztkowych można znaleźć w pomocy;Pentru mai multe informații despre modelele de erori remanente, vă rugăm să deschideti/consultati Help-ul;За више информација о моделима преосталих грешака отворите помоћ;Pre viac informácií o modeloch zostatkových chýb otvorte pomocník;Za več informacij o modelih preostalih napak odprite pomoč;För mer information om modeller för kvarstående fel, se hjälp.;Для отримання додаткової інформації про моделі залишкових помилок відкрийте довідку
AboutText_1;BaRatinAGE 2.2 - une interface Java pour l'estimation des courbes de tarage;BaRatinAGE 2.2 - a Java interface for rating curve estimation;BaRatinAGE 2.2 - una interfaz Java para la estimación de las curvas de gasto;BaRatinAGE 2.2 - واجهة Java لتقدير منحنى التصنيف;BaRatinAGE 2.2 - 一个java界面用于水位流量曲线模拟;BaRatinAGE 2.2 - интерфейс Java для оценки калибровочной кривой;BaRatinAGE 2.2 - Java ինտերֆեյս վարկանիշի կորի գնահատման համար;BaRatinAGE 2.2 - Java интерфейс за дефиниране на ключова крива;BaRatinAGE 2.2 - uma interface Java para a estimativa das curvas de classificação;BaRatinAGE 2.2 - Java rozhraní pro odhad ratingové křivky;BaRatinAGE 2.2 - eine Java-Schnittstelle für die Schätzung von Abflusskurven.;BaRatinAGE 2.2 - Java-liides reitingukõvera hindamiseks;BaRatinAGE 2.2 - یک رابط جاوا برای تخمین منحنی سنجه;BaRatinAGE 2.2 - Java-käyttöliittymä purkautumiskäyrien estimointia varten.;BaRatinAGE 2.2 - ממשק Java להערכת עקומת דירוג;BaRatinAGE 2.2 - un'interfaccia Java per la stima delle scale di deflusso;BaRatinAGE 2.2 - 水位流量曲線推定用の Java インターフェース;BaRatinAGE 2.2 - 수위유량곡선 추정을 위한 Java 인터페이스;BaRatinAGE 2.2 - Java interfész a vízhozamgörbe becsléséhez;BaRatinAGE 2.2 - een Java-interface voor de schatting van ratingcurves;BaRatinAGE 2.2 - interfejs Java do estymacji krzywej przepływu;BaRatinAGE 2.2 - o interfață Java pentru estimarea cheii limnimetrice;БаРатинАГЕ 2.2 - Јава интерфејс за процену криве рејтинга;BaRatinAGE 2.2 - rozhranie Java na odhad mernej krivky;BaRatinAGE 2.2 - vmesnik Java za določitev pretočnih krivulj;BaRatinAGE 2.2 - ett Java-gränssnitt för uppskattning av ratingkurvor.;BaRatinAGE 2.2 - Java-інтерфейс для оцінки рейтингової кривої
AboutText_2;--------------------------------------------------------------------------------------;--------------------------------------------------------------------------------------;--------------------------------------------------------------------------------------;--------------------------------------------------------------------------------------;--------------------------------------------------------------------------------------;--------------------------------------------------------------------------------------;-------------------------------------------------- ------------------------------------;--------------------------------------------------------------------------------------;--------------------------------------------------------------------------------------;--------------------------------------------------------------------------------------;--------------------------------------------------------------------------------------;--------------------------------------------------------------------------------------;------------------------------------------------ ------------------------------------;--------------------------------------------------------------------------------------;--------------------------------------------------------------------------------------;--------------------------------------------------------------------------------------;-------------------------------------------------- ------------------------------------;--------------------------------------------------------------------------------------;--------------------------------------------------------------------------------------;--------------------------------------------------------------------------------------;--------------------------------------------------------------------------------------;--------------------------------------------------------------------------------------;-------------------------------------------------- ------------------------------------;--------------------------------------------------------------------------------------;--------------------------------------------------------------------------------------;--------------------------------------------------------------------------------------;--------------------------------------------------------------------------------------
AboutText_3;Programmeurs : Benjamin Renard - Sylvain Vigneau - Kevin Mokili (INRAE, France), Ivan Horner (ihdev.fr, France);Programmers: Benjamin Renard - Sylvain Vigneau - Kevin Mokili (INRAE, France), Ivan Horner (ihdev.fr, France);Programadores: Benjamin Renard - Sylvain Vigneau - Kevin Mokili (INRAE, France), Ivan Horner (ihdev.fr, France);Benjamin Renard - Sylvain Vigneau - Kevin Mokili (INRAE, France), Ivan Horner (ihdev.fr, France);程序员：Benjamin Renard - Sylvain Vigneau - Kevin Mokili (INRAE, France), Ivan Horner (ihdev.fr, France);Программисты: Бенджамин Ренар - Сильвен Виньо - Кевин Мокили (INRAE, Франция), Иван Хорнер (ihdev.fr, Франция);Ծրագրավորողներ՝ Բենժամեն Ռենար - Սիլվեն Վինյո - Քևին Մոկիլի (INRAE, Ֆրանսիա), Իվան Հորներ (ihdev.fr, Ֆրանսիա);Програмисти: Силвен Виньо - Кевин Мокили - Бенджамин Ренар - INRAE Лион-Вильорбан;Programadores: Benjamin Renard - Sylvain Vigneau - Kevin Mokili (INRAE, France), Ivan Horner (ihdev.fr, France);Programátoři: Benjamin Renard - Sylvain Vigneau - Kevin Mokili (INRAE, France), Ivan Horner (ihdev.fr, France);Programmierer: Benjamin Renard - Sylvain Vigneau - Kevin Mokili (INRAE, France), Ivan Horner (ihdev.fr, France).;Programmeerijad: Benjamin Renard - Sylvain Vigneau - Kevin Mokili (INRAE, Prantsusmaa), Ivan Horner (ihdev.fr, Prantsusmaa).;برنامه نویسان: Benjamin Renard - Sylvain Vigneau - Kevin Mokili (INRAE، فرانسه)، Ivan Horner (ihdev.fr، فرانسه);Ohjelmoijat: Benjamin Renard - Sylvain Vigneau - Kevin Mokili (INRAE, Ranska), Ivan Horner (ihdev.fr, Ranska).;מתכנתים: Benjamin Renard - Sylvain Vigneau - Kevin Mokili (INRAE, France), Ivan Horner (ihdev.fr, France);Programmatori: Benjamin Renard - Sylvain Vigneau - Kevin Mokili (INRAE, France), Ivan Horner (ihdev.fr, France);プログラマー: Benjamin Renard - Sylvain Vigneau - Kevin Mokili (INRAE, France), Ivan Horner (ihdev.fr, France);개발자: Benjamin Renard - Sylvain Vigneau - Kevin Mokili (INRAE, France), Ivan Horner (ihdev.fr, France);Programozók: Mokili Kevin (INRAE, Franciaország), Ivan Horner (ihdev.fr, Franciaország).;Programmeurs: Benjamin Renard - Sylvain Vigneau - Kevin Mokili (INRAE, Frankrijk), Ivan Horner (ihdev.fr, Frankrijk;Programiści: Benjamin Renard - Sylvain Vigneau - Kevin Mokili (INRAE, Francja), Ivan Horner (ihdev.fr, Francja);Programatori: Benjamin Renard - Sylvain Vigneau - Kevin Mokili (INRAE, Franța), Ivan Horner (ihdev.fr, Franța);Програмери: Бењамин Ренард - Силваин Вигнеау - Кевин Мокили (ИНРАЕ, Француска), Иван Хорнер (ихдев.фр, Француска);Programátori: Benjamin Renard - Sylvain Vigneau - Kevin Mokili (INRAE, Francúzsko), Ivan Horner (ihdev.fr, Francúzsko);Programerji: Benjamin Renard - Sylvain Vigneau - Kevin Mokili (INRAE, Francija), Ivan Horner (ihdev.fr, Francija);Programmerare: Benjamin Renard - Sylvain Vigneau - Kevin Mokili (INRAE, Frankrike), Ivan Horner (ihdev.fr, Frankrike);Програмісти: Бенжамен Ренар - Сільвен Віньо - Кевін Мокілі (INRAE, Франція), Іван Хорнер (ihdev.fr, Франція)
